Date;Source;Destination;Prefix;Direction;Billsec;Status;N;a;a;a;a;a;a;a;a;a;a;a;a;a;a
2011-11-21 08:56:55;0;79109315781;791093;Russian Federation MOB Russia 79 Tver MTS   ;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 08:56:59;0;79109315781;791093;Russian Federation MOB Russia 79 Tver MTS   ;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 08:57:17;0;79109315781;791093;Russian Federation MOB Russia 79 Tver MTS   ;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 08:57:20;0;79109315781;791093;Russian Federation MOB Russia 79 Tver MTS   ;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 09:06:31;0;79198000575;791980;Russian Federation MOB Samara MTS;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,013375;0;;0;0;0;0
2011-11-21 09:06:40;0;79171191536;791711;Russian Federation MOB Samara MTS;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,013375;0;;0;0;0;0
2011-11-21 09:08:16;0;79171191536;791711;Russian Federation MOB Samara MTS;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,013375;0;;0;0;0;0
2011-11-21 09:09:27;0;79171191469;791711;Russian Federation MOB Samara MTS;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,013375;0;;0;0;0;0
2011-11-21 09:10:53;0;79171191536;791711;Russian Federation MOB Samara MTS;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,013375;0;;0;0;0;0
2011-11-21 09:11:54;0;79171191469;791711;Russian Federation MOB Samara MTS;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,013375;0;;0;0;0;0
2011-11-21 09:13:07;0;79272999999;792729;Russian Federation MOB Samara MegaFon;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,022292;0;;0;0;0;0
2011-11-21 09:18:29;0;79171191536;791711;Russian Federation MOB Samara MTS;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,013375;0;;0;0;0;0
2011-11-21 09:18:57;0;79178168877;791781;Russian Federation MOB Samara MTS;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,013375;0;;0;0;0;0
2011-11-21 09:20:58;0;79272999999;792729;Russian Federation MOB Samara MegaFon;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,022292;0;;0;0;0;0
2011-11-21 09:21:21;0;79146069959;791460;Russian Federation MOB Russia Amur Reg Mobile;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 09:27:55;0;79142520407;791425;Russian Federation MOB Russia 79 Sakha Yakutia MTS  ;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 09:29:41;0;79852318375;798523;Russian Federation MOB Russia 79 Moscow and Moscow MTS ;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 09:38:56;0;79198000194;791980;Russian Federation MOB Samara MTS;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,013375;0;;0;0;0;0
2011-11-21 09:40:52;0;79171385977;791713;Russian Federation MOB Samara MTS;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,013375;0;;0;0;0;0
2011-11-21 09:46:18;0;79171561679;791715;Russian Federation MOB Samara MTS;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,013375;0;;0;0;0;0
2011-11-21 09:50:26;0;79107922356;791079;Russian Federation MOB Russia Nijni Novgorod Mobile;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 09:50:47;0;79171796125;791717;Russian Federation MOB Russia Astrakhan Reg Mobile;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 09:50:50;0;79171796125;791717;Russian Federation MOB Russia Astrakhan Reg Mobile;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 10:40:04;0;79110248811;791102;Russian Federation MOB Russia Leningrad Region Mobile;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 10:41:19;0;79110248811;791102;Russian Federation MOB Russia Leningrad Region Mobile;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 10:42:11;0;79110248811;791102;Russian Federation MOB Russia Leningrad Region Mobile;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 10:44:03;0;79110248811;791102;Russian Federation MOB Russia Leningrad Region Mobile;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 10:44:44;0;79110248811;791102;Russian Federation MOB Russia Leningrad Region Mobile;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 10:54:32;0;79198899299;791988;Russian Federation MOB Russia 79 Rostov MTS   ;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
